Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
10,0,40,2,4,3,1,,v Australia,Sydney,23 Jan 2016,ODI # 3727
9.5,2,28,4,2.84,3,1,,v Zimbabwe,Harare,11 Jun 2016,ODI # 3742
6,0,27,1,4.5,3,1,,v Zimbabwe,Harare,13 Jun 2016,ODI # 3744
10,1,22,4,2.2,3,1,,v Zimbabwe,Harare,15 Jun 2016,ODI # 3746
8,1,29,0,3.62,3,1,,v New Zealand,Dharamsala,16 Oct 2016,ODI # 3796
10,0,35,3,3.5,3,1,,v New Zealand,Delhi,20 Oct 2016,ODI # 3797
9.4,0,52,2,5.37,3,1,,v New Zealand,Mohali,23 Oct 2016,ODI # 3798
5,0,16,1,3.2,2,2,,v New Zealand,Visakhapatnam,29 Oct 2016,ODI # 3800
10,0,79,2,7.9,3,1,,v England,Pune,15 Jan 2017,ODI # 3819
9,0,81,2,9,2,2,,v England,Cuttack,19 Jan 2017,ODI # 3821
10,1,68,1,6.8,3,1,,v England,Kolkata,22 Jan 2017,ODI # 3824
5,0,23,0,4.6,3,2,,v Pakistan,Birmingham,4 Jun 2017,ODI # 3878
10,0,52,0,5.2,3,2,,v Sri Lanka,The Oval,8 Jun 2017,ODI # 3882
8,0,28,2,3.5,2,1,,v South Africa,The Oval,11 Jun 2017,ODI # 3886
10,1,39,2,3.9,2,1,,v Bangladesh,Birmingham,15 Jun 2017,ODI # 3891
9,0,68,0,7.55,2,1,,v Pakistan,The Oval,18 Jun 2017,ODI # 3894
6.2,0,22,2,3.47,3,1,,v Sri Lanka,Dambulla,20 Aug 2017,ODI # 3905
10,2,43,4,4.3,2,1,,v Sri Lanka,Pallekele,24 Aug 2017,ODI # 3906
10,2,27,5,2.7,2,1,,v Sri Lanka,Pallekele,27 Aug 2017,ODI # 3907
7,0,32,2,4.57,2,2,,v Sri Lanka,Colombo (RPS),31 Aug 2017,ODI # 3908
10,0,45,2,4.5,3,1,,v Sri Lanka,Colombo (RPS),3 Sep 2017,ODI # 3909
4,0,20,1,5,2,2,,v Australia,Chennai,17 Sep 2017,ODI # 3910
7,1,39,0,5.57,2,2,,v Australia,Kolkata,21 Sep 2017,ODI # 3912
10,0,52,2,5.2,2,1,,v Australia,Indore,24 Sep 2017,ODI # 3914
10,2,51,2,5.1,2,1,,v Australia,Nagpur,1 Oct 2017,ODI # 3919
9,0,56,1,6.22,2,2,,v New Zealand,Mumbai,22 Oct 2017,ODI # 3928
10,2,38,2,3.8,2,1,,v New Zealand,Pune,25 Oct 2017,ODI # 3931
10,0,47,3,4.7,2,2,,v New Zealand,Kanpur,29 Oct 2017,ODI # 3932
7,1,32,1,4.57,2,2,,v Sri Lanka,Dharamsala,10 Dec 2017,ODI # 3939
10,0,43,2,4.3,3,2,,v Sri Lanka,Mohali,13 Dec 2017,ODI # 3941
8,1,39,1,4.87,2,1,,v Sri Lanka,Visakhapatnam,17 Dec 2017,ODI # 3942
10,0,56,1,5.6,2,1,,v South Africa,Durban,1 Feb 2018,ODI # 3969
5,1,12,1,2.4,2,1,,v South Africa,Centurion,4 Feb 2018,ODI # 3970
7,0,32,2,4.57,2,2,,v South Africa,Cape Town,7 Feb 2018,ODI # 3971
5,0,21,1,4.2,2,2,,v South Africa,Johannesburg,10 Feb 2018,ODI # 3973
7,0,22,1,3.14,2,2,,v South Africa,Port Elizabeth,13 Feb 2018,ODI # 3976
8,1,24,2,3,2,1,,v South Africa,Centurion,16 Feb 2018,ODI # 3978
7.1,2,23,2,3.2,2,1,,v Pakistan,Dubai (DSC),19 Sep 2018,ODI # 4040
9.1,1,37,3,4.03,2,1,,v Bangladesh,Dubai (DSC),21 Sep 2018,ODI # 4042
10,1,29,2,2.9,2,1,,v Pakistan,Dubai (DSC),23 Sep 2018,ODI # 4044
8.3,0,39,1,4.58,2,1,,v Bangladesh,Dubai (DSC),28 Sep 2018,ODI # 4048
10,1,35,4,3.5,2,1,,v West Indies,Pune,27 Oct 2018,ODI # 4062
8,1,25,0,3.12,2,2,,v West Indies,Mumbai (BS),29 Oct 2018,ODI # 4063
6,1,11,2,1.83,2,1,,v West Indies,Thiruvananthapuram,1 Nov 2018,ODI # 4064
10,0,60,2,6,2,1,,v Australia,Hyderabad (Deccan),2 Mar 2019,ODI # 4102
10,0,29,2,2.9,2,2,,v Australia,Nagpur,5 Mar 2019,ODI # 4106
10,0,53,0,5.3,2,1,,v Australia,Ranchi,8 Mar 2019,ODI # 4109
8.5,0,63,3,7.13,2,2,,v Australia,Mohali,10 Mar 2019,ODI # 4111
10,0,39,0,3.9,3,1,,v Australia,Delhi,13 Mar 2019,ODI # 4113
10,1,35,2,3.5,2,1,,v South Africa,Southampton,5 Jun 2019,ODI # 4150
10,1,61,3,6.1,2,2,,v Australia,The Oval,9 Jun 2019,ODI # 4155
8,0,52,0,6.5,2,2,,v Pakistan,Manchester,16 Jun 2019,ODI # 4161
10,1,39,2,3.9,2,2,,v Afghanistan,Southampton,22 Jun 2019,ODI # 4169